"Genes","E13.5_Skin_Mes_Ventral_121","E13.5_Skin_Mes_Ventral_122","E13.5_Skin_Mes_Ventral_123","E13.5_Skin_Mes_Ventral_126","E13.5_Skin_Mes_Ventral_128","E13.5_Mammary_Mes_111","E13.5_Mammary_Mes_113","E13.5_Mammary_Mes_114","E13.5_Mammary_Mes_115","E13.5_Mammary_Mes_117","E16.5_Mammary_Mes_41","E16.5_Mammary_Mes_42","E16.5_Mammary_Mes_43","E16.5_Mammary_Mes_46","E16.5_Mammary_Mes_62","E16.5_Fatpad_52","E16.5_Fatpad_53","E16.5_Fatpad_56","E16.5_Fatpad_57","E16.5_Fatpad_58","E13.5_SMG_Mes_1","E13.5_SMG_Mes_2","E13.5_SMG_Mes_3","E13.5_SMG_Mes_5","E13.5_SMG_Mes_6","Markers_of_tissue"
"Slc9a3r1",744.503258212834,679.384460226107,583.17212783849,631.884095975853,569.276029651945,317.058563951824,272.447108426665,179.742168658349,272.710280654624,271.124497090836,194.652655465752,201.892201592442,201.100192617374,250.755810443025,214.952710830687,285.672220463796,234.949007082921,272.969205811498,252.241689988338,266.47402543065,116.06138514228,137.053827912454,104.547262443378,118.184492493105,122.538252755925,"E13.5_Skin_Mes_Ventral"
"Rgs6",251.857475979217,197.15107978188,223.498820238664,244.304429821355,336.148030230978,62.7738399426696,102.995055630783,91.2329955762504,45.0009987734342,35.3615410684489,47.6681450832467,81.988865638531,59.3464739877326,153.101504516008,64.3851653052058,83.8990932671494,65.7140652539948,89.3417647141913,108.306966256725,138.533262985854,26.3221111869074,3.06858032170044,4.1956596727541,15.6310669463518,9.93784881183958,"E13.5_Skin_Mes_Ventral"
"Nkd2",2886.59061660467,2682.25636584951,3274.58907206789,3000.95368621523,3270.31922359615,1180.46458932159,1359.0477960686,1278.74134882904,1561.75601020015,1676.72326536168,593.645509125501,519.095290794005,691.060696826417,673.03010503077,626.965830778776,205.400226442357,191.80275792835,136.421497861294,231.236138891986,97.0980702393832,531.997317868528,491.788891881601,395.48685792813,401.431375346522,319.180858495464,"E13.5_Skin_Mes_Ventral"
"Sdc2",4871.75665674607,5233.81442065917,5331.52709958726,5690.34498225976,5129.11137753952,1941.15225692183,2186.22191883836,2028.79192496285,2440.40738329394,2512.30296979626,1815.61979805775,1845.87155741661,1915.29761763896,1856.28954119628,1899.25352949931,2000.83023702792,2133.37663815378,1931.985932394,1930.46261128172,2274.95667985304,699.026205169916,624.776415518152,591.795054381326,605.140145772968,682.428480795194,"E13.5_Skin_Mes_Ventral"
"Nell2",1046.70618628264,1221.56615625015,938.860609864222,1353.38410241858,969.840080494411,268.400431193638,212.945604253319,195.219928167033,168.984174742554,186.370438052724,11.5406865836367,14.398868114113,17.8648395690737,14.4137350179631,21.0338215879631,7.25128234607288,11.1895304520456,8.97396312783797,11.2491879242472,5.77884028690328,701.185720709249,393.8404328492,489.351998180102,552.546161418105,559.811790987149,"E13.5_Skin_Mes_Ventral"
"Runx1",1540.41146544539,1672.26912805767,1806.60841735137,2076.32206704469,1759.62650865605,388.973049080439,448.538636332201,472.042042418302,496.878540939116,453.92036768253,932.600553748461,478.10565917927,630.915771487666,885.31609413236,561.490701285613,272.744334900595,240.497218945143,196.513440367434,170.106009012513,208.250615814045,88.7015100572716,131.323982740486,55.7837380609966,64.7201618385471,66.1910002071326,"E13.5_Skin_Mes_Ventral"
"Dsc2",637.061812481407,1146.41461929003,487.382708351266,1106.43543417257,728.058330918957,19.7105054169219,36.8190377791854,39.3654761678869,45.0771850701972,25.4200040437585,96.4235711855997,51.7295616706107,36.276475126832,86.3567128780778,68.9696448124632,93.5342116117769,106.06779459681,47.1937489044175,69.3725220338488,45.9603433633046,24.2231833703522,24.5653665861813,32.9113954202119,15.0239187860194,22.0562017553824,"E13.5_Skin_Mes_Ventral"
"Il33",1584.23194908862,2362.71734814439,989.924638482144,1281.65713556269,1042.38034342976,284.460623906223,182.183647683712,133.692493269562,194.411647827416,250.507959484355,163.340180867577,103.471225909824,156.876250178097,51.7575294018036,144.051521367879,348.05207868145,160.492041499057,231.970640146691,206.798356933131,71.6606389136885,47.8917857689288,46.3773449905144,7.91104209598541,5.01471358120432,22.7564293036478,"E13.5_Skin_Mes_Ventral"
"Lef1",3836.45528390089,2100.41094064438,2403.35724195954,2571.70345197129,2334.02118828146,999.61415046908,1150.13006743805,1155.81287111556,1175.54606062805,1165.83926112669,873.299625199681,992.253649708404,756.677972993752,1128.1613540355,1528.67424821732,55.6133129332669,47.8301282699801,63.6277405713289,67.1234518396279,43.6906792912164,220.313247785569,108.665148898811,121.781988925236,144.154121416056,108.639959535454,"E13.5_Skin_Mes_Ventral"
"Pitx2",2561.88627314048,4375.08787021149,1584.89526264414,2337.58046332245,1627.49068702445,73.4110529465986,114.707912295493,225.967823607638,198.374961600458,127.488754113619,101.352367076407,77.4436840569045,118.76402509532,106.662960057671,79.6875791612393,185.536197961002,261.121547731719,78.7082772662771,127.066341013037,20.7719055644076,128.667999656365,4.39971080870233,29.6440463815593,17.6591892297728,9.55002870463426,"E13.5_Skin_Mes_Ventral"
"Dkk2",7233.0781495327,11956.1448692122,5803.80346375433,8682.90062714272,7147.36840523471,2872.37321398313,3429.79582838168,3774.58554182532,3089.16260935266,2890.82093651398,2571.46402746862,2696.70297841333,2225.42803516937,1751.80795351169,2630.90008044883,982.982364902982,1323.44693863164,887.812465503415,1615.1604987963,1308.33521505558,1639.92079311726,1656.93351952091,1165.36627402481,1177.40189889748,1494.36893604787,"E13.5_Skin_Mes_Ventral"
"Col24a1",5079.32197030448,4965.43178063506,6230.75112731906,6105.79846763351,6497.42918272231,2104.77519818806,2439.68458584687,2139.34637498252,2330.98412287517,2446.25199801592,2407.63261016386,1273.20949801914,1569.46466225786,2165.66920605321,2115.63959787189,290.046557694285,530.182283300312,269.839658109043,534.514091496435,671.213612524569,567.106647420661,603.559922573276,933.063472877377,637.550555052922,1043.10198107522,"E13.5_Skin_Mes_Ventral"
"Gabra4",1092.86603496021,1200.62813074702,1061.51137541544,1121.89287949676,1196.45227292871,240.946218761393,333.380840259979,234.973346388314,331.737739123025,411.594628270645,51.0593059891708,67.8620646748692,95.5579908792645,70.8919171396042,252.03750901148,22.6032114017664,34.4487461104629,22.4767997671825,27.4628528029131,112.803202088291,135.158154236156,54.3472867899872,28.9334192432955,110.418568036932,63.9136478614035,"E13.5_Skin_Mes_Ventral"
"Gabrb1",761.665373285783,776.779813802344,745.493023574564,929.91440242021,1105.38788437612,24.1557239350587,150.238792218187,49.2863444725503,140.143914378412,260.207047848058,136.962622843212,87.1836001191593,37.9856144550429,96.4101688170838,190.962010817306,6.57490867335809,8.95647122856903,12.6759841272286,4.32432094700559,16.1055457478304,17.8921609444087,18.0837466570164,31.814108591507,156.686025382601,128.148600835368,"E13.5_Skin_Mes_Ventral"
